course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1000,7,5,-0.5,142,28,-1,38,-1,-1,62,8,1,0,3,54.0,456,4,10,4,11,1332,14,1,0,7,0,11,1,0,9,0,2,0.0,0.0,632,634.0,636.0,52,3,0,5,0,52,3,0,5,0,636,48,42,7,6,181,16,8,8,4
1000,7,5,-1.0,-143,28,-1,-1,-1,194,-1,6,0,0,3,52.0,466,-4,10,4,11,1280,13,0,1,0,7,11,0,1,0,9,7,0.0,14.3,626,633.0,652.0,859,68,82,7,9,358,29,34,8,9,3436,336,288,9,8,166,6,9,3,5
1300,7,5,-2.5,220,50,-1,16,-1,14,90,8,0,1,2,52.5,487,11,11,5,11,960,3,1,0,33,0,3,1,0,33,0,-1,-1.0,-1.0,-1,-1.0,-1.0,675,101,90,14,13,441,68,71,15,16,662,85,75,12,11,258,40,40,15,15
1300,7,5,0.0,-477,21,-1,-1,-1,139,10,5,0,1,3,54.5,481,-10,11,5,11,1313,6,1,1,16,16,4,1,1,25,25,2,0.0,0.0,824,826.0,828.0,6504,1318,985,20,15,494,110,74,22,14,2434,222,183,9,7,234,26,8,11,3
1300,7,5,-0.5,102,49,-1,31,-1,146,20,3,0,1,3,54.0,467,5,11,5,11,1351,10,1,2,10,20,8,1,1,12,12,3,0.0,0.0,832,832.0,833.0,2846,217,219,7,7,437,36,39,8,8,680,105,75,15,11,187,23,16,12,8
1300,7,5,-0.5,83,36,-1,-1,-1,-1,114,9,0,2,3,52.5,472,3,11,5,11,1297,12,1,0,8,0,11,1,0,9,0,1,0.0,0.0,844,844.0,844.0,1625,100,130,6,8,242,18,12,7,4,3353,345,326,10,9,218,23,21,10,9
1300,7,5,1.5,0,22,-1,-1,-1,83,43,1,0,2,3,54.5,499,0,11,5,11,1352,3,0,2,0,66,3,0,2,0,66,1,0.0,100.0,827,827.0,827.0,441,64,41,14,9,334,50,33,14,9,9988,903,967,9,9,319,35,29,10,9
1300,7,5,-0.5,116,43,-1,-1,-1,-1,186,7,0,1,3,54.0,503,5,11,5,11,1308,8,0,2,0,25,8,0,2,0,25,3,0.0,66.7,819,829.0,835.0,7468,517,601,6,8,275,6,18,2,6,3641,275,297,7,8,319,21,36,6,11
1300,7,5,1.0,-273,22,-1,180,-1,-1,14,11,0,0,3,52.5,472,-6,11,5,11,1364,4,1,1,25,25,4,1,1,25,25,-1,-1.0,-1.0,-1,-1.0,-1.0,859,68,82,7,9,358,29,34,8,9,663,43,56,6,8,156,10,21,6,13
1300,7,5,-1.5,-380,29,-1,-1,-1,-1,103,6,0,0,3,51.0,453,-11,11,5,11,1313,11,1,0,9,0,11,1,0,9,0,6,0.0,0.0,821,835.0,848.0,1085,60,60,5,5,138,7,10,5,7,970,83,103,8,10,280,24,24,8,8
1300,7,5,-0.5,-267,15,-1,-1,-1,8,92,10,0,1,3,53.5,475,-4,11,5,11,1302,13,0,3,0,23,10,0,3,0,30,8,0.0,25.0,821,840.0,861.0,52,3,0,5,0,52,3,0,5,0,10522,804,928,7,8,334,18,24,5,7
1300,7,5,1.0,181,22,-1,-1,-1,13,127,2,0,1,2,56.0,434,4,11,5,11,935,4,0,0,0,0,4,0,0,0,0,-1,-1.0,-1.0,-1,-1.0,-1.0,1513,119,110,7,7,183,13,16,7,8,2849,228,246,8,8,253,16,33,6,13
